"title","links"
"Alfred Hitchcock Presents","/title/tt0047708/"
"Coupling","/title/tt0237123/"
"Dragon Ball","/title/tt0280249/"
"Dragon Ball: Doragon bôru","/title/tt0088509/"
"The Untold History of the United States","/title/tt1494191/"
"The IT Crowd","/title/tt0487831/"
"Line of Duty","/title/tt2303687/"
"Mindhunter","/title/tt5290382/"
"Yeh Meri Family","/title/tt8595766/"
"Feud","/title/tt1984119/"
"Masum","/title/tt6478318/"
"Mr. Bean","/title/tt0096657/"
"Dr. Horrible's Sing-Along Blog","/title/tt1227926/"
"Sseulsseulhago Chalranhashin: Dokkaebi","/title/tt5994364/"
"Silicon Valley","/title/tt2575988/"
"The Office","/title/tt0290978/"
"Vikings","/title/tt2306299/"
"Brideshead Revisited","/title/tt0083390/"
"Impractical Jokers","/title/tt2100976/"
"BoJack Horseman","/title/tt3398228/"
"Whose Line Is It Anyway?","/title/tt0163507/"
"Umbre","/title/tt4269716/"
"The New Batman Adventures","/title/tt0118266/"
"The Handmaid's Tale","/title/tt5834204/"
"La casa de papel","/title/tt6468322/"
"Boku dake ga inai machi","/title/tt5249462/"
"Mr. Robot","/title/tt4158110/"
"Horace and Pete","/title/tt5425186/"
"Black Books","/title/tt0262150/"
"Hannibal","/title/tt2243973/"
"Twin Peaks","/title/tt4093826/"
"The Prisoner","/title/tt0061287/"
"Spartacus: Gods of the Arena","/title/tt1758429/"
"Luther","/title/tt1474684/"
"Endeavour","/title/tt2701582/"
"House of Cards","/title/tt0098825/"
"Sons of Anarchy","/title/tt1124373/"
"Tinker Tailor Soldier Spy","/title/tt0080297/"
"I'm Alan Partridge","/title/tt0129690/"
"Futurama","/title/tt0149460/"
"Kôkaku kidôtai: Stand Alone Complex","/title/tt0346314/"
"This Is England '90","/title/tt2528254/"
"The Knick","/title/tt2937900/"
"American Crime Story","/title/tt2788432/"
"Jesus of Nazareth","/title/tt0075520/"
"Detectorists","/title/tt4082744/"
"Wentworth","/title/tt2433738/"
"Ash vs Evil Dead","/title/tt4189022/"
"Community","/title/tt1439629/"
"Spartacus: Blood and Sand","/title/tt1442449/"
"Rurôni Kenshin -Meiji kenkaku romantan","/title/tt0182629/"
"The Venture Bros.","/title/tt0417373/"
"The Daily Show","/title/tt0115147/"
"Scener ur ett äktenskap","/title/tt0070644/"
"After Life","/title/tt8398600/"
"Behzat Ç.: Bir Ankara Polisiyesi","/title/tt1795096/"
"X-Men","/title/tt0103584/"
"Unsere Mütter, unsere Väter","/title/tt1883092/"
"Narcos: Mexico","/title/tt8714904/"
"The Colbert Report","/title/tt0458254/"
"The Legend of Korra","/title/tt1695360/"
"Happy Valley","/title/tt3428912/"
"Taboo","/title/tt3647998/"
"Carnivàle","/title/tt0319969/"
"Police Squad!","/title/tt0083466/"
"Garth Marenghi's Darkplace","/title/tt0397150/"
"Samurai Jack","/title/tt0278238/"
"Suits","/title/tt1632701/"
"One Piece: Wan pîsu","/title/tt0388629/"
"Utopia","/title/tt2384811/"
"The Angry Video Game Nerd","/title/tt1230180/"
"The Bugs Bunny/Looney Tunes Comedy Hour","/title/tt0088491/"
"Borgen","/title/tt1526318/"
"Inside No. 9","/title/tt2674806/"
"Doctor Who","/title/tt0056751/"
"Entourage","/title/tt0387199/"
"Inside Look: The People v. O.J. Simpson - American Crime Story","/title/tt6205862/"
