"title","links"
"Room","/title/tt3170832/"
"Andhadhun","/title/tt8108198/"
"Warrior","/title/tt1291584/"
"Blade Runner","/title/tt0083658/"
"Dial M for Murder","/title/tt0046912/"
"No Country for Old Men","/title/tt0477348/"
"There Will Be Blood","/title/tt0469494/"
"Smultronstället","/title/tt0050986/"
"The General","/title/tt0017925/"
"Trainspotting","/title/tt0117951/"
"The Sixth Sense","/title/tt0167404/"
"Gone with the Wind","/title/tt0031381/"
"The Thing","/title/tt0084787/"
"Fargo","/title/tt0116282/"
"Idi i smotri","/title/tt0091251/"
"Gran Torino","/title/tt1205489/"
"Finding Nemo","/title/tt0266543/"
"The Deer Hunter","/title/tt0077416/"
"Shutter Island","/title/tt1130884/"
"The Big Lebowski","/title/tt0118715/"
"Kill Bill: Vol. 1","/title/tt0266697/"
"Sherlock Jr.","/title/tt0015324/"
"Cool Hand Luke","/title/tt0061512/"
"Tôkyô monogatari","/title/tt0046438/"
"Rebecca","/title/tt0032976/"
"Mary and Max","/title/tt0978762/"
"Hacksaw Ridge","/title/tt2119532/"
"How to Train Your Dragon","/title/tt0892769/"
"Jurassic Park","/title/tt0107290/"
"Gone Girl","/title/tt2267998/"
"Relatos salvajes","/title/tt3011894/"
"Sunrise: A Song of Two Humans","/title/tt0018455/"
"The Truman Show","/title/tt0120382/"
"Stalker","/title/tt0079944/"
"The Grand Budapest Hotel","/title/tt2278388/"
"In the Name of the Father","/title/tt0107207/"
"Stand by Me","/title/tt0092005/"
"Into the Wild","/title/tt0758758/"
"It Happened One Night","/title/tt0025316/"
"Platoon","/title/tt0091763/"
"Life of Brian","/title/tt0079470/"
"Network","/title/tt0074958/"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","/title/tt0169858/"
"Salinui chueok","/title/tt0353969/"
"Persona","/title/tt0060827/"
"Ben-Hur","/title/tt0052618/"
"12 Years a Slave","/title/tt2024544/"
"Hotel Rwanda","/title/tt0395169/"
"Million Dollar Baby","/title/tt0405159/"
"Before Sunrise","/title/tt0112471/"
"Eskiya","/title/tt0116231/"
"Prisoners","/title/tt1392214/"
"Le salaire de la peur","/title/tt0046268/"
"Mad Max: Fury Road","/title/tt1392190/"
"Rush","/title/tt1979320/"
"Andrei Rublev","/title/tt0060107/"
"Hachi: A Dog's Tale","/title/tt1028532/"
"Les quatre cents coups","/title/tt0053198/"
"La passion de Jeanne d'Arc","/title/tt0019254/"
"Logan","/title/tt3315342/"
"Spotlight","/title/tt1895587/"
